feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
Morfologia CBC (PCT),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (PDW),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (PLCR),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (PLT),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (RBC),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (RDW),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (RDWSD),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (WBC),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Ca125 (CA125),0.03188180404354588,0.0,0.03188180404354588,0.03188180404354588,0.0,0.39688732019348705,0.6355301515066281
Estradiol (L_ESTRA),0.026438569206842923,0.0,0.026438569206842923,0.026438569206842923,0.0,0.6264380906923164,0.9828597629827723
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10)",0.019440124416796267,0.0,0.019440124416796267,0.019440124416796267,0.0,1.0,1.0
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10PEG)",0.019440124416796267,0.0,0.019440124416796267,0.019440124416796267,0.0,1.0,1.0
Hemoglobina glikowana (HBA1C_1),0.017884914463452566,0.0,0.017884914463452566,0.017884914463452566,0.0,1.0,1.0
Hemoglobina glikowana (HBA1C_2),0.017884914463452566,0.0,0.017884914463452566,0.017884914463452566,0.0,1.0,1.0
"PRL 10:00, 10:00 po PEG, 16:00 (PRL16)",0.017884914463452566,0.0,0.017884914463452566,0.017884914463452566,0.0,1.0,1.0
Anty-TG (O18),0.016329704510108865,0.0,0.016329704510108865,0.016329704510108865,0.0,1.0,1.0
beta HCG (L_HCG),0.016329704510108865,0.0,0.016329704510108865,0.016329704510108865,0.0,1.0,1.0
Białko C-reaktywne (CRP),0.014774494556765163,0.0,0.014774494556765163,0.014774494556765163,0.0,1.0,1.0
Dokument (NAZWA),0.013996889580093312,0.0,0.013996889580093312,0.013996889580093312,0.0,1.0,1.0
